"term","coef","avg_marginal_effect","coef_orig"
"(Intercept)",-3.82019588010299,-0.179470795381383,-3.82019588010299
"aez_12",-10.3046744643388,-0.972377714307877,-10.3046744643388
"aez_5",0.0999574127877965,0.00943225920538216,0.0999574127877965
"aez_6",-0.121269311337553,-0.0114433091682985,-0.121269311337553
"dist_core_road_km",0.0716188627210364,0.00675815488155542,0.000535510620755546
"dist_major_place_km",0.0473426907864215,0.00446738784571966,0.000479415777513419
"dist_rail_corridor_km",-0.218725687117987,-0.0206395635724582,-0.000764841731859541
"dist_rivers",0.10041726163157,0.00947565181998472,0.12924003194284
"elevation",-0.594742535958924,-0.0561215582033929,-0.0050257254249758
"indigenous",-0.813736253826213,-0.0767864139020869,-0.813736253826213
"precip_mean",-0.687863547848527,-0.0649087156248727,-0.00196720433337958
"protected_area",-0.709572525835696,-0.0669572351068006,-0.709572525835696
"slope",-0.0803320584434159,-0.00758035623979969,-0.101512298513134
"slx_protected_area",-0.0220129769892488,-0.0020772056724347,-0.0817812361158447
"slx_indigenous",-0.035439933072571,-0.00334421055566472,-0.145424444576899
