"term","coef","avg_marginal_effect","coef_orig"
"(Intercept)",-3.32944112239832,-0.0315610819259433,-3.32944112239832
"aez_5",-0.0151559328135343,-0.000143669048229777,-0.0151559328135343
"aez_6",0.205149957964634,0.00194469714057044,0.205149957964634
"dist_core_road_km",-0.172658742242958,-0.00163670012738805,-0.0146990637433932
"dist_major_place_km",-0.189726321281536,-0.00179849042206851,-0.00467512456618903
"dist_rail_corridor_km",0.115097459491764,0.00109105408834226,0.00117399521264546
"dist_rivers",0.124905971764162,0.00118403283402969,0.132191288951808
"elevation",0.0309184969730249,0.000293088593586467,0.000676527220728667
"indigenous",-0.38763707959829,-0.00367456434187438,-0.38763707959829
"precip_mean",0.557918702941832,0.00528873082425292,0.00508547072919558
"protected_area",-0.917334357325395,-0.00869577317654266,-0.917334357325395
"slope",-0.0597051153505388,-0.000565968271461392,-0.0968858619951373
