"term","coef","avg_marginal_effect","coef_orig"
"(Intercept)",-1.66017881683826,-0.214520796639611,-1.66017881683826
"aez_11",-1.23150041828069,-0.159128913170157,-1.23150041828069
"aez_12",0.995016381933437,0.128571515764991,0.995016381933437
"aez_4",0.0359815289154496,0.0046493703985174,0.0359815289154496
"aez_5",0.153608119075121,0.0198485462771193,0.153608119075121
"aez_6",0.272379364874291,0.0351956293794327,0.272379364874291
"dist_core_road_km",0.0280413743927022,0.00362337954958868,0.000505758277995331
"dist_major_place_km",-0.124721967309576,-0.0161160084168912,-0.00248342385030956
"dist_rail_corridor_km",-0.0706827755237468,-0.00913330850885698,-0.000379629457837283
"dist_rivers",0.123194089897394,0.0159185830092757,0.130854462367915
"elevation",0.128038864560261,0.0165446028751338,0.000503815808634441
"indigenous",-0.998152751333718,-0.12897678323105,-0.998152751333718
"precip_mean",0.300949884612733,0.038887382696928,0.00102925435321616
"protected_area",-0.405341443807142,-0.052376387744881,-0.405341443807142
"slope",-0.394848648149977,-0.0510205561558244,-0.309044818009716
"slx_protected_area",-0.218555685729128,-0.0282407770399209,-0.645915947525887
"slx_indigenous",-0.118170974414857,-0.0152695187494516,-0.50455580751079
